Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,59,35,32,64,81,124,8,137,0.000%,4.59502,145.08,2.16
Open Large Calendar,71,37,33,72,83,91,9,111,0.000%,5.38613,152.99,2.64
Open Contacts,34,24,21,47,49,80,6,80,0.000%,2.58516,53.83,1.24
Open Search by name,43,35,29,75,84,114,7,114,0.000%,3.38503,87.65,1.66
Open Random Page,119,35,28,64,70,111,7,442,1.681%,9.35167,223.67,4.60
Open post,69,36,29,74,81,96,9,141,0.000%,5.48315,139.23,2.67
Comment,44,40,33,77,102,129,6,129,0.000%,3.57724,8.41,8.28
Open Random Date,40,32,29,59,70,93,8,93,0.000%,3.27386,92.09,1.61
Open Predefined Date,56,31,29,60,74,95,5,95,0.000%,4.78469,76.53,2.36
TOTAL,535,35,30,67,81,114,5,442,0.374%,40.12299,931.72,25.59
