Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,34,15,10,30,34,50,7,50,0.000%,3.91344,123.56,1.83
Open Contacts,39,11,8,25,25,43,6,43,0.000%,4.43636,92.37,2.12
Open Search by name,28,12,10,14,38,50,7,50,0.000%,3.53491,91.51,1.71
Open Random Page,65,13,10,23,28,46,6,55,0.000%,7.65156,180.39,3.75
Open post,42,14,11,24,37,49,7,49,0.000%,4.99821,127.53,2.43
Comment,24,13,10,31,32,32,7,32,0.000%,2.86328,6.73,6.64
Open Predefined Date,39,9,8,13,19,40,6,40,0.000%,4.78352,76.51,2.34
Open Random Date,26,16,8,36,40,72,6,72,0.000%,3.37926,95.98,1.66
Open Large Calendar,36,15,12,25,34,41,8,41,0.000%,4.86750,138.26,2.42
TOTAL,333,13,10,25,34,50,6,72,0.000%,37.75938,868.10,23.34
