Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,18,16,7,49,10.87,0.000%,3.70370,113.82,1.70,31468.0
Open Contacts,20,10,6,23,5.66,0.000%,3.99122,82.67,1.89,21209.2
Open post,34,11,6,40,6.18,0.000%,7.08186,180.62,3.40,26117.0
Open Search by name,20,10,6,38,7.38,0.000%,4.78240,121.29,2.34,25970.7
Open Large Calendar,10,10,8,19,3.61,0.000%,2.80034,63.58,1.35,23250.0
Open Predefined Date,20,10,6,31,6.21,0.000%,4.58190,120.81,2.23,27000.0
Comment,14,10,6,25,5.14,0.000%,3.06413,7.21,7.08,2408.4
Open Random Date,14,9,6,28,5.82,0.000%,3.26493,65.81,1.60,20640.6
Open Random Page,26,9,6,26,3.98,0.000%,6.13063,150.47,3.04,25132.5
TOTAL,176,11,6,49,6.69,0.000%,34.89986,802.98,21.91,23560.4
