Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,12,11,9,12,12,36,8,36,0.000%,3.51391,110.78,1.66
Open Large Calendar,8,9,9,10,11,11,9,11,0.000%,2.31951,66.70,1.13
Open post,17,12,13,19,22,26,7,26,0.000%,4.92326,125.38,2.38
Open Search by name,6,10,7,8,24,24,7,24,0.000%,2.21076,57.36,1.06
Comment,9,6,7,7,9,9,6,9,0.000%,2.67221,6.29,6.19
Open Contacts,7,6,6,7,10,10,6,10,0.000%,2.41379,50.40,1.17
Open Predefined Date,9,5,6,6,6,6,5,6,0.000%,3.00300,48.03,1.48
Open Random Date,9,9,7,9,26,26,6,26,0.000%,3.19149,92.83,1.58
Open Random Page,21,9,8,18,21,23,6,23,0.000%,7.00233,186.01,3.46
TOTAL,98,9,8,14,22,26,5,36,0.000%,27.25250,647.35,17.84
