Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open to Home page,22,16,12,30,35,36,7,36,0.000%,5.13419,161.86,2.38
Open post,29,14,10,28,29,38,6,38,0.000%,6.03036,153.67,2.92
Comment,17,13,11,23,26,35,6,35,0.000%,3.79888,8.93,8.77
Open Random Page,33,16,13,31,32,46,6,46,0.000%,7.31383,181.96,3.60
Open Random Date,20,16,9,37,45,63,7,63,0.000%,4.50958,129.90,2.23
Open Search by name,11,12,9,21,21,26,7,26,0.000%,2.55993,66.43,1.24
Open Contacts,20,10,7,19,20,24,6,24,0.000%,4.75964,99.36,2.28
Open Large Calendar,18,18,12,21,50,77,9,77,0.000%,4.58482,131.85,2.26
Open Predefined Date,11,12,9,21,21,43,6,43,0.000%,3.21168,51.37,1.59
TOTAL,181,15,11,28,36,50,6,77,0.000%,36.35268,856.83,23.88
