Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,13,9,8,19,3.09,0.000%,4.63954,146.80,2.16,32401.0
Open Random Date,7,7,7,10,1.05,0.000%,2.88184,80.55,1.40,28621.3
Open post,16,7,7,12,1.30,0.000%,5.20156,132.64,2.53,26111.5
Comment,8,8,7,11,1.27,0.000%,2.61097,6.14,6.05,2408.2
Open Random Page,15,8,5,21,3.56,0.000%,5.71211,157.33,2.81,28204.7
Open Search by name,9,9,7,24,5.30,0.000%,3.05188,79.32,1.50,26612.7
Open Large Calendar,11,10,9,14,1.54,0.000%,4.43012,127.63,2.20,29501.0
Open Predefined Date,3,5,5,6,0.47,0.000%,2.44101,39.17,1.21,16432.0
Open Contacts,8,6,6,7,0.48,0.000%,3.56824,74.68,1.72,21432.0
TOTAL,90,8,5,24,2.90,0.000%,26.54867,652.90,17.22,25182.9
