Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,49,41,9,112,24.76,0.000%,4.67557,143.68,2.18,31468.0
Open Search by name,37,39,7,113,29.76,0.000%,3.49584,87.28,1.68,25564.6
Open Predefined Date,49,40,7,94,23.67,0.000%,4.64015,122.35,2.23,27000.0
Open Random Page,68,42,8,101,23.59,0.000%,6.65232,174.49,3.22,26858.9
Open Contacts,48,32,6,115,21.07,0.000%,4.69116,97.15,2.20,21205.5
Open post,77,38,6,121,25.52,1.299%,7.39958,186.75,3.58,25843.9
Comment,42,61,7,181,40.32,4.762%,4.05054,9.35,9.36,2363.9
Open Large Calendar,32,38,8,135,27.75,0.000%,3.14188,71.34,1.53,23250.0
Open Random Date,40,39,8,88,18.75,0.000%,4.04735,83.38,1.94,21095.3
TOTAL,442,41,6,181,27.23,0.679%,41.14690,939.30,26.87,23375.9
