Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
 Home page - Open,2,440,66,815,374.50,0.000%,1.48920,45.75,0.68,31461.0
 Login page - Open,2,3,2,5,1.50,0.000%,1.56006,7.24,0.72,4750.0
 Login page - Log in,2,15,15,15,0.00,0.000%,1.54202,49.13,2.63,32625.0
Prepare values,2,8,8,9,0.50,0.000%,1.55039,0.00,0.00,.0
Create post,100,48,3,982,178.63,49.000%,19.34236,14.11,38.83,747.0
 Log Out,2,10,3,17,7.00,0.000%,.50467,2.34,0.63,4758.0
TOTAL,110,52,2,982,185.60,44.545%,20.78609,40.95,39.40,2017.2
