Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,59,35,8,137,26.12,0.000%,4.59502,145.08,2.16,32332.0
Open Large Calendar,71,37,9,111,24.30,0.000%,5.38613,152.99,2.64,29087.0
Open Contacts,34,24,6,80,16.54,0.000%,2.58516,53.83,1.24,21322.2
Open Search by name,43,35,7,114,25.97,0.000%,3.38503,87.65,1.66,26513.8
Open Random Page,119,35,7,442,42.77,1.681%,9.35167,223.67,4.60,24491.3
Open post,69,36,9,141,25.98,0.000%,5.48315,139.23,2.67,26001.6
Comment,44,40,6,129,28.53,0.000%,3.57724,8.41,8.28,2407.7
Open Random Date,40,32,8,93,19.35,0.000%,3.27386,92.09,1.61,28802.8
Open Predefined Date,56,31,5,95,22.00,0.000%,4.78469,76.53,2.36,16379.0
TOTAL,535,35,5,442,29.63,0.374%,40.12299,931.72,25.59,23778.8
