Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Go To Main Blog page,10,21,18,31,31,32,13,32,0.000%,3.65497,107.10,0.42
Go To Contact,10,10,9,14,14,15,8,15,0.000%,3.66435,61.38,0.45
TOTAL,20,15,14,30,31,32,8,32,0.000%,7.28067,167.65,0.86
